spec,event,factor,level,odds_ratio,lo95,hi95,p
terms,chargeoff,cohort_q,2022Q3,12448210692.069334,,,
terms,chargeoff,cohort_q,2022Q4,13037129829.995962,,,
terms,chargeoff,cohort_q,2023Q1,13356001813.358393,,,
terms,chargeoff,cohort_q,2023Q2,13696983964.692352,,,
terms,chargeoff,cohort_q,2023Q3,13107523356.009363,,,
terms,chargeoff,cohort_q,2023Q4,14105780546.58742,,,
terms,chargeoff,cohort_q,2024Q1,16197953738.038546,0.0,inf,0.999878741015071
terms,chargeoff,cohort_q,2024Q2,21360659675.919678,,,
terms,chargeoff,cohort_q,2024Q3,20468466287.880302,,,
terms,chargeoff,cohort_q,2024Q4,23240454160.16639,,,
terms,chargeoff,cohort_q,2025Q1,22460044213.172577,,,
terms,chargeoff,cohort_q,2025Q2,30896651439.12386,0.0,inf,0.9998519051152036
terms,chargeoff,cohort_q,2025Q3,27283065776.456432,,,
terms,chargeoff,cohort_q,2025Q4,20558610092.528625,,,
terms,chargeoff,cohort_q,2026Q1,16843308846.045547,,,
terms,chargeoff,amount_q,1,0.9275138347278887,0.912323232192137,0.9429573678010388,4.2178506938827475e-19
terms,chargeoff,amount_q,2,0.8660578390369085,0.8004849918838238,0.9370021776325033,0.0003438875346042992
terms,chargeoff,amount_q,3,0.8060269516138583,0.7326002138601833,0.8868130727189774,9.653581596769148e-06
terms,chargeoff,amount_q,4,0.7212246992335695,0.6528400040927032,0.7967726602591733,1.2779643574908988e-10
terms,chargeoff,pti_q,1,1.4117346912601998,1.2284930125119549,1.6223086482456792,1.1677910403841044e-06
terms,chargeoff,pti_q,2,1.7525608749365527,1.5148790616236059,2.0275345393357393,4.507207458589595e-14
terms,chargeoff,pti_q,3,2.097639342041118,1.7994339876674852,2.44526381041758,2.8279120904704707e-21
terms,chargeoff,pti_q,4,2.46853483282162,2.0757096090698917,2.9357016965317158,1.6401175596776347e-24
terms,chargeoff,ltv_q,1,2.189871370994935,2.0033771743230333,2.3937262952612546,9.378944384163109e-67
terms,chargeoff,ltv_q,2,3.1364992359285906,2.693789851248648,3.6519654465327407,4.4897495162230385e-49
terms,chargeoff,ltv_q,3,3.7963508997151174,3.1667336982264165,4.551150026236695,3.950499423792602e-47
terms,chargeoff,ltv_q,4,4.329948165152272,3.48272930048527,5.383263956315292,9.744769572918494e-40
terms,prepay,age_b,0-3,0.5211315621748205,0.4551873227627906,0.5966293249258502,3.664868385676391e-21
terms,prepay,age_b,10-12,1.0142346687646866,0.9670694310587195,1.0637002166411706,0.5607321250227018
terms,prepay,age_b,13-18,1.0472747288067659,0.995822390020924,1.1013855167227558,0.07232103894326167
terms,prepay,age_b,19-24,1.130454124242785,1.0117315666458555,1.2631082879564286,0.03031211196591389
terms,prepay,age_b,25-36,1.2189929535822708,1.0432359763244918,1.4243602162939928,0.012674285247894388
terms,prepay,age_b,37-48,1.6039642865571961,1.205681684456131,2.1338148084346575,0.001177256813988824
terms,prepay,age_b,4-6,0.8330645457014468,0.7774963505098328,0.8926042377558159,2.1527502345312716e-07
terms,prepay,age_b,49-60,1.8707740753281987,1.5431911258900952,2.2678951312018687,1.8024580834683743e-10
terms,prepay,age_b,61+,3.6356112610924507,2.784997512430011,4.746025510898695,2.268756205393751e-21
terms,prepay,score_b,360,6.852962961678746e-10,1.5593296001922295e-10,3.011749494677153e-09,9.684109692080456e-172
terms,prepay,score_b,380,0.19400665549897297,0.0386179501342719,0.9746395716766546,0.04646392426115095
terms,prepay,score_b,400,0.6637285088694537,0.3782264600515383,1.1647401226927374,0.1531509684693194
terms,prepay,score_b,420,0.653859342628502,0.5486732894186703,0.7792105943330229,2.056186957798461e-06
terms,prepay,score_b,440,0.535542741960793,0.482871824394517,0.5939589223838367,2.996721163271051e-32
terms,prepay,score_b,460,0.6677933464880577,0.6035782188140839,0.738840368510848,4.975598464404747e-15
terms,prepay,score_b,480,0.6102496945796783,0.5559820948105425,0.6698141778495438,2.6446969453272833e-25
terms,prepay,score_b,500,0.6589605429152428,0.6098428998531075,0.7120341931073463,4.903074368150109e-26
terms,prepay,score_b,520,0.6709421991406078,0.6198869336824447,0.726202489724109,4.9530277203304895e-23
terms,prepay,score_b,540,0.7096438479602275,0.6505909075598925,0.774056915176667,1.0137978582180312e-14
