lender,var,cutoff,left,right,jump,se,t,n_left,n_right,stable_across_bandwidths,flag,known_selection
carmax,orig_apr,750,0.08751752994267295,0.08099358293317473,-0.006523947009498224,0.000301522703446921,-21.63666926210973,15927,17302,True,True,False
carmax,orig_apr,755,0.07960503201137405,0.07937967772843117,-0.00022535428294287452,0.0002846543703978602,-0.791676876866137,16340,17014,False,False,False
carmax,orig_apr,760,0.07570339296048179,0.07834326331369769,0.0026398703532159035,0.00027026640415575266,9.767660029600144,16356,17205,True,False,False
carmax,orig_apr,765,0.07490181031389861,0.0764397090948352,0.001537898780936589,0.0002559928138925313,6.007585750364917,16955,16855,False,False,False
carmax,orig_apr,770,0.07445037410188525,0.074799954335186,0.00034958023330075583,0.0002451916445221221,1.4257428469150604,16904,16989,False,False,False
carmax,orig_apr,775,0.0735527661385063,0.07342054264787021,-0.00013222349063608807,0.00023408129928880129,-0.5648614008800223,17302,16676,False,False,False
carmax,orig_apr,780,0.07194766058796462,0.07325097778521718,0.0013033171972525598,0.00022497851679784066,5.7930740045889975,17014,16980,True,False,False
carmax,orig_apr,785,0.07184352835902466,0.07265863439999322,0.0008151060409685579,0.000215321868249718,3.7855237259192105,17205,16692,False,False,False
carmax,orig_apr,790,0.07144085676016018,0.071174811837578,-0.00026604492258218426,0.0002071847877112673,-1.2840948677802757,16855,16624,True,False,False
carmax,orig_apr,795,0.0700744149882201,0.06950806884332397,-0.0005663461448961321,0.00019864659773432853,-2.851023633707373,16989,16275,False,False,False
carmax,orig_apr,800,0.06921069779436258,0.06602928582558708,-0.0031814119687754994,0.00019108943708566882,-16.64881124407319,16676,16236,True,False,False
carmax,orig_apr,805,0.06519303308846945,0.06536406351421788,0.0001710304257484252,0.00018343453638626766,0.932378542873069,16980,15546,False,False,False
carmax,orig_apr,810,0.06375844498404662,0.06440566017491997,0.0006472151908733514,0.0001775533390713893,3.645187380075821,16692,15254,True,False,False
carmax,orig_apr,815,0.06303231043790306,0.06396590345473055,0.0009335930168274942,0.0001723610007377627,5.416498006111615,16624,14664,False,False,False
carmax,orig_apr,820,0.0630811573446817,0.06371919477855163,0.0006380374338699341,0.00016870938882243482,3.7818727121432643,16275,14410,False,False,False
carmax,orig_apr,825,0.06323599499530907,0.06333109962399217,9.510462868309033e-05,0.00016523871612780008,0.5755589907242673,16236,13657,False,False,False
carmax,orig_apr,830,0.06289898756503519,0.06310953023019249,0.00021054266515729836,0.0001635672842193333,1.2871930115008454,15546,13156,False,False,False
carmax,orig_apr,835,0.06251972475064523,0.06276080441245148,0.00024107966180625384,0.0001621188987502623,1.4870546473278692,15254,12296,True,False,False
carmax,orig_apr,840,0.06229189415066117,0.06200752739192667,-0.0002843667587345,0.0001625157505721166,-1.7497796843285776,14664,11422,False,False,False
carmax,orig_apr,845,0.06158326561326013,0.06160268088963255,1.94152763724198e-05,0.00016369165342664026,0.11860883536814486,14410,10234,False,False,False
carmax,orig_apr,850,0.061080008298381956,0.061119873161923806,3.9864863541849704e-05,0.00016932643232879887,0.23543201727914473,13657,8892,False,False,False
carmax,orig_apr,855,0.06068726509322685,0.06075889818473291,7.163309150606118e-05,0.00017660061596142768,0.4056219799465873,13156,7212,False,False,False
carmax,orig_apr,860,0.06043274923287728,0.060031840961586806,-0.0004009082712904746,0.00019131946602817695,-2.095491272338331,12296,5496,True,False,False
carmax,orig_apr,865,0.060055523895922856,0.05979586294073169,-0.0002596609551911641,0.00021443762904276167,-1.2108926793785073,11422,3892,False,False,False
carmax,orig_amount,655,22693.503653356478,22945.986797490445,252.48314413396656,183.53395118919804,1.375675413175688,2879,14202,False,False,False
carmax,orig_amount,660,23070.54001449481,22962.46652100564,-108.07349348916978,140.85036448985238,-0.7672929628588642,5550,14573,False,False,False
carmax,orig_amount,665,22889.888790049255,23019.34589585648,129.45710580722516,123.87507222573184,1.0450617988042132,8342,14606,False,False,False
carmax,orig_amount,670,22961.824205421082,22962.939911667356,1.1157062462734757,114.1510515562916,0.009773946284877495,11075,14845,False,False,False
carmax,orig_amount,675,23089.456264732253,22640.5087094293,-448.9475553029515,107.53393744024766,-4.174938312404062,14018,15046,True,False,False
carmax,orig_amount,680,22694.186872738148,22633.660064818618,-60.526807919530256,107.37675007833037,-0.5636863462097381,14202,15222,False,False,False
carmax,orig_amount,685,22570.149392950334,22705.610259247493,135.46086629715865,106.61989221956136,1.2705027502579473,14573,15403,False,False,False
carmax,orig_amount,690,22781.371882383457,22584.898488749306,-196.47339363415085,106.51989920020864,-1.8444759627951846,14606,15573,False,False,False
carmax,orig_amount,695,22649.327785851856,22646.30614347926,-3.021642372594215,106.26190639789993,-0.028435800514246486,14845,15719,False,False,False
carmax,orig_amount,700,22681.780599793947,22719.718580384862,37.937980590915686,106.08500187300473,0.3576187012404597,15046,15990,False,False,False
carmax,orig_amount,705,22703.893918533096,22659.74011525018,-44.15380328291576,106.84382080569706,-0.4132555626517001,15222,15942,False,False,False
carmax,orig_amount,710,22655.13269295556,22708.20861002482,53.07591706925814,107.6079773323279,0.4932340369649613,15403,16068,False,False,False
carmax,orig_amount,715,22570.18070915458,22859.196869882868,289.0161607282862,108.45191135821139,2.6649245468222302,15573,16205,True,False,False
carmax,orig_amount,720,22706.047538551167,22818.040564716983,111.99302616581554,109.52881359201551,1.0224983042633784,15719,16192,False,False,False
carmax,orig_amount,725,22852.07343069205,22851.00423940044,-1.0691912916081492,110.5222471947576,-0.009673991605726816,15990,15927,False,False,False
carmax,orig_amount,730,23029.714480233913,22659.040532438838,-370.67394779507595,110.65442408618625,-3.349833961508546,15942,16340,True,False,False
carmax,orig_amount,735,22705.329946068803,22767.983007724797,62.65306165599395,110.82266985074834,0.5653451747767191,16068,16356,False,False,False
carmax,orig_amount,740,22818.192573687695,22702.213036990663,-115.97953669703202,109.83740579577467,-1.055920210940503,16205,16955,False,False,False
carmax,orig_amount,745,22829.21299206309,22722.149071662447,-107.06392040064384,110.12095296894182,-0.9722393197127509,16192,16904,False,False,False
carmax,orig_amount,750,22555.543329002994,23363.774560456503,808.2312314535084,110.37264750535232,7.322749338003464,15927,17302,True,False,False
